Name-additional,yearID,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
mastrmi01,2023,Miles Mastrobuoni,27,CHC,0.1,1,0,4,108,489.00%,132.00%,-32.00%,0,10000.00%,324.00%,-400.00%,-30.00%,0,0.1,-10.00%,-4,0.222,0.498,"$720,500 ",Traded
matonph01,2023,Phil Maton,30,HOU,66,68,0,27,3.68,480.00%,14.00%,-32.00%,0.26,9790.00%,450.00%,500.00%,50.00%,1.05,-0.1,100.00%,12,0.508,0.503,"$2,550,000 ",Traded
matzst01,2023,Steven Matz*,32,STL,105,25,17,48,4.11,461.00%,-2.00%,14.00%,0.05,10170.00%,490.00%,900.00%,100.00%,0.94,-0.1,190.00%,19,0.539,0.506,"$10,500,000 ",Free Agency
maydu01,2023,Dustin May,25,LAD,48,9,9,14,2.63,478.00%,42.00%,21.00%,0,9660.00%,442.00%,1000.00%,100.00%,,0,150.00%,14,0.616,0.506,"$1,675,000 ",Amateur Draft
maytr01,2023,Trevor May,33,OAK,46.2,49,0,21,4.05,475.00%,-48.00%,-32.00%,0.48,9370.00%,505.00%,500.00%,50.00%,1.76,0.1,100.00%,10,0.51,0.503,"$7,000,000 ",Free Agency
mayermi01,2023,Mike Mayers,31,KCR,26.1,6,2,19,6.49,460.00%,-21.00%,16.00%,0,9920.00%,492.00%,-500.00%,-50.00%,0.83,0,-20.00%,-2,0.422,0.497,,Free Agency
mayzati01,2023,Tim Mayza*,31,TOR,53.1,69,0,10,1.69,479.00%,53.00%,-32.00%,0.11,10070.00%,407.00%,1300.00%,140.00%,1.47,0.2,210.00%,19,0.52,0.509,"$2,100,000 ",Amateur Draft
mcallza01,2023,Zach McAllister,35,NYY,5.1,7,0,7,11.81,458.00%,18.00%,-31.00%,0,10410.00%,426.00%,-500.00%,-40.00%,1.01,0,-40.00%,-4,0.437,0.497,,Free Agency
mcartja01,2023,James McArthur,26,KCR,23.1,18,2,12,4.63,457.00%,-16.00%,-30.00%,0,10360.00%,459.00%,0.00%,0.00%,1.18,-0.1,10.00%,2,0.498,0.5,,
mccanja02,2023,James McCann,33,BAL,1,1,0,0,0,503.00%,27.00%,-33.00%,0,8600.00%,381.00%,0.00%,0.00%,0,0,0.00%,1,0.543,0.5,"$12,150,000 ",Traded
mccauda01,2023,Darren McCaughan,27,SEA,5,3,0,5,9,416.00%,9.00%,-28.00%,0,9170.00%,347.00%,-300.00%,-30.00%,0.07,0.1,-10.00%,-3,0.402,0.498,,Amateur Draft
mcclash01,2023,Shane McClanahan*,26,TBR,115,21,21,42,3.29,474.00%,14.00%,22.00%,0,9700.00%,467.00%,1600.00%,180.00%,,-0.1,280.00%,29,0.584,0.511,"$737,000 ",Amateur Draft
mcfartj01,2023,T.J. McFarland*,34,NYM,1.2,3,0,2,10.8,470.00%,-13.00%,-31.00%,0,8930.00%,404.00%,-100.00%,-10.00%,0.56,0,-10.00%,-1,0.46,0.499,"$375,487 ",Free Agency
mcgeeea01,2023,Easton McGee,25,SEA,6.2,1,1,0,0,460.00%,10.00%,21.00%,0,9800.00%,462.00%,300.00%,40.00%,,0,50.00%,4,0.894,0.502,,Purchased
mcgousc01,2023,Scott McGough,33,ARI,70.1,63,1,40,5.12,472.00%,22.00%,-29.00%,0.48,9830.00%,461.00%,-400.00%,-40.00%,1.42,-0.3,0.00%,3,0.494,0.498,"$2,500,000 ",Free Agency
mchugco01,2023,Collin McHugh,36,ATL,58.2,41,1,34,5.22,457.00%,20.00%,-29.00%,0,10050.00%,411.00%,-700.00%,-70.00%,1.2,-0.2,-40.00%,-1,0.483,0.496,"$5,000,000 ",Free Agency
mckenry01,2023,Ryan McKenna,26,BAL,1,1,0,2,18,567.00%,34.00%,-38.00%,0,9200.00%,455.00%,-200.00%,-10.00%,0,0.1,-10.00%,-1,0.365,0.499,"$725,800 ",Amateur Draft
mckentr01,2023,Triston McKenzie,25,CLE,16,4,4,9,5.06,479.00%,16.00%,22.00%,0,9850.00%,478.00%,-100.00%,-10.00%,,0,10.00%,1,0.482,0.5,,Amateur Draft
mckinza01,2023,Zach McKinstry,28,DET,1,1,0,2,18,461.00%,28.00%,-31.00%,0,10600.00%,427.00%,-200.00%,-10.00%,0,0.1,-10.00%,-1,0.362,0.499,"$734,500 ",Traded
mcmiljo01,2023,John McMillon,25,KCR,4,4,0,1,2.25,474.00%,-8.00%,-32.00%,0,9770.00%,440.00%,100.00%,10.00%,0.48,0,10.00%,1,0.524,0.501,,Free Agency
meansjo01,2023,John Means*,30,BAL,23.2,4,4,7,2.66,460.00%,17.00%,21.00%,0,9350.00%,434.00%,400.00%,50.00%,,0,70.00%,7,0.613,0.503,"$2,975,000 ",Amateur Draft
mearsni01,2023,Nick Mears,26,COL,19.1,16,0,8,3.72,485.00%,8.00%,-32.00%,0,11230.00%,500.00%,300.00%,30.00%,0.49,-0.1,30.00%,5,0.518,0.502,,Waivers
medervi01,2023,Victor Mederos,22,LAA,3,3,0,3,9,572.00%,-10.00%,-38.00%,0,10180.00%,554.00%,-100.00%,-10.00%,0.23,0,-10.00%,-1,0.461,0.499,,Amateur Draft
medinlu02,2023,Luis Medina,24,OAK,109.2,23,17,73,5.99,477.00%,-50.00%,20.00%,0,9660.00%,528.00%,-1000.00%,-100.00%,1.03,-0.1,0.00%,2,0.457,0.494,,Traded
megiltr01,2023,Trevor Megill,29,MIL,34.2,31,2,14,3.63,484.00%,37.00%,-32.00%,0,9860.00%,410.00%,200.00%,20.00%,0.62,-0.1,40.00%,5,0.506,0.501,,Traded
megilty01,2023,Tylor Megill,27,NYM,126.1,25,25,76,5.41,497.00%,-10.00%,23.00%,0,9640.00%,511.00%,-400.00%,-40.00%,,-0.1,70.00%,8,0.484,0.498,,Amateur Draft
mejiaje02,2023,J.C. Mejía,26,MIL,11.1,9,0,7,5.56,509.00%,44.00%,-34.00%,0,9880.00%,426.00%,-200.00%,-20.00%,0.44,0,0.00%,-1,0.482,0.499,,Traded
mendida01,2023,Danny Mendick,29,NYM,2,2,0,8,36,545.00%,-23.00%,-36.00%,0,9480.00%,504.00%,-700.00%,-50.00%,0,0.3,-20.00%,-7,0.243,0.497,"$1,000,000 ",Free Agency
merryju01,2023,Julian Merryweather,31,CHC,72,69,0,28,3.5,464.00%,21.00%,-31.00%,0,10190.00%,420.00%,600.00%,60.00%,0.98,-0.2,110.00%,13,0.508,0.504,"$737,000 ",Waivers
middlke01,2023,Keynan Middleton,29,2TM,50.2,51,0,20,3.55,471.00%,-15.00%,-31.00%,0.11,10370.00%,483.00%,700.00%,70.00%,0.91,-0.2,100.00%,12,0.513,0.502,,Free Agency
mikolmi01,2023,Miles Mikolas,34,STL,201.1,35,35,110,4.92,472.00%,-2.00%,22.00%,0,10000.00%,496.00%,100.00%,10.00%,,-0.1,190.00%,21,0.504,0.501,"$18,750,000 ",Free Agency
mileywa01,2023,Wade Miley*,36,MIL,120.1,23,23,44,3.29,468.00%,47.00%,22.00%,0,9790.00%,434.00%,1400.00%,150.00%,,-0.1,260.00%,26,0.565,0.509,"$3,500,000 ",Free Agency
millebo06,2023,Bobby Miller,24,LAD,124.1,22,22,53,3.84,474.00%,42.00%,22.00%,0,9900.00%,450.00%,900.00%,100.00%,,-0.1,210.00%,21,0.544,0.506,,Amateur Draft
millebr02,2023,Brad Miller,33,TEX,2,1,0,3,13.5,572.00%,30.00%,-38.00%,0,10800.00%,544.00%,-200.00%,-20.00%,0,0.1,-10.00%,-2,0.341,0.499,"$4,000,000 ",Free Agency
millebr04,2023,Bryce Miller,24,SEA,131.1,25,25,64,4.39,472.00%,10.00%,22.00%,0,9380.00%,453.00%,100.00%,10.00%,,-0.1,120.00%,15,0.502,0.5,,Amateur Draft
millema03,2023,Mason Miller,24,OAK,33.1,10,6,15,4.05,471.00%,-41.00%,3.00%,0,9790.00%,504.00%,300.00%,30.00%,0.46,-0.1,60.00%,7,0.534,0.502,,Amateur Draft
millesh01,2023,Shelby Miller,32,LAD,42,36,1,8,1.71,480.00%,36.00%,-32.00%,0.14,9860.00%,420.00%,1200.00%,120.00%,0.96,-0.1,150.00%,16,0.534,0.507,"$1,500,000 ",Free Agency
millety01,2023,Tyson Miller,27,3TM,15.1,10,0,8,4.7,440.00%,40.00%,-29.00%,0,9730.00%,361.00%,-200.00%,-20.00%,0.41,0.1,0.00%,0,0.483,0.499,,Purchased
millsal02,2023,Alec Mills,31,CIN,1,1,0,5,45,503.00%,-44.00%,-33.00%,0,10800.00%,555.00%,-400.00%,-30.00%,0.23,0.1,-20.00%,-4,0.199,0.498,,Free Agency
milneho01,2023,Hoby Milner*,32,MIL,64.1,73,0,16,2.24,468.00%,42.00%,-31.00%,0.09,9770.00%,394.00%,1200.00%,130.00%,1.06,-0.1,170.00%,19,0.517,0.508,"$1,025,000 ",Free Agency
milonto01,2023,Tommy Milone*,36,SEA,9,2,2,3,3,439.00%,11.00%,20.00%,0,9010.00%,403.00%,100.00%,10.00%,,0,20.00%,2,0.549,0.501,"$100,000 ",Free Agency
minteaj01,2023,A.J. Minter*,29,ATL,64.2,70,0,28,3.9,468.00%,15.00%,-31.00%,0.09,10100.00%,436.00%,300.00%,40.00%,1.35,-0.1,90.00%,10,0.505,0.502,"$4,287,500 ",Amateur Draft
misiean01,2023,Anthony Misiewicz*,28,3TM,11,11,0,11,9,462.00%,27.00%,-31.00%,0.51,10250.00%,469.00%,-500.00%,-50.00%,1.04,0,-40.00%,-4,0.457,0.499,,Purchased
mlodzca01,2023,Carmen Mlodzinski,24,PIT,36,35,1,14,3.5,479.00%,4.00%,-30.00%,0,10020.00%,446.00%,400.00%,40.00%,1.53,0,80.00%,7,0.511,0.502,,Amateur Draft
mollsa01,2023,Sam Moll*,31,2TM,62.1,70,1,22,3.18,469.00%,-32.00%,-31.00%,0.09,9920.00%,474.00%,1000.00%,110.00%,1.34,0,170.00%,17,0.515,0.502,"$725,000 ",Traded
montafr02,2023,Frankie Montas,30,NYY,1.1,1,0,0,0,431.00%,17.00%,-29.00%,0,10600.00%,408.00%,100.00%,10.00%,1.17,0,10.00%,1,0.563,0.5,"$7,500,000 ",Traded
montera01,2023,Rafael Montero,32,HOU,67.1,68,0,40,5.35,471.00%,15.00%,-31.00%,0,9830.00%,417.00%,-1000.00%,-100.00%,0.73,0,-40.00%,-2,0.486,0.494,"$11,500,000 ",Free Agency
montgjo01,2023,Jordan Montgomery*,30,2TM,188.2,32,32,75,3.58,455.00%,8.00%,21.00%,0,9990.00%,468.00%,2300.00%,240.00%,,-0.1,410.00%,41,0.576,0.507,"$10,000,000 ",Traded
moorema02,2023,Matt Moore*,34,3TM,52.2,50,0,16,2.73,473.00%,-5.00%,-32.00%,0.11,10250.00%,469.00%,1100.00%,110.00%,1.49,0.2,180.00%,17,0.523,0.505,"$7,550,000 ",Waivers
mooremc01,2023,McKinley Moore,24,PHI,3.1,3,0,7,18.9,442.00%,-27.00%,-29.00%,0,10400.00%,457.00%,-500.00%,-50.00%,0.19,0.2,-30.00%,-5,0.347,0.497,,Traded
