Name-additional,yearID,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
sauceta01,2023,Tayler Saucedo*,30,SEA,47.2,52,0,20,3.78,473.00%,9.00%,-32.00%,0.47,9510.00%,456.00%,400.00%,40.00%,0.8,-0.1,70.00%,9,0.507,0.502,,Waivers
sborzjo01,2023,Josh Sborz,29,TEX,52.1,44,0,33,5.68,466.00%,21.00%,-31.00%,0.22,10340.00%,450.00%,-700.00%,-80.00%,1.49,-0.3,-60.00%,-2,0.483,0.495,"$733,450 ",Traded
scherma01,2023,Max Scherzer,38,2TM,152.2,27,27,65,3.83,470.00%,0.00%,22.00%,0,9980.00%,490.00%,1800.00%,190.00%,,-0.1,320.00%,33,0.57,0.506,"$43,333,333 ",Free Agency
schmicl01,2023,Clarke Schmidt,27,NYY,159,33,32,91,5.15,468.00%,14.00%,21.00%,0,10250.00%,487.00%,-700.00%,-70.00%,0.24,-0.1,70.00%,10,0.479,0.496,"$740,475 ",Amateur Draft
scholje01,2023,Jesse Scholtens,29,CHW,85,26,11,54,5.72,456.00%,-34.00%,5.00%,0.2,10400.00%,535.00%,-500.00%,-50.00%,1.09,-0.1,30.00%,5,0.483,0.497,,Free Agency
schoojo01,2023,Jonathan Schoop,31,DET,1.1,1,0,0,0,567.00%,15.00%,-38.00%,0,10800.00%,556.00%,100.00%,10.00%,0,0,10.00%,1,0.587,0.501,"$7,500,000 ",Free Agency
schrejo01,2023,John Schreiber,29,BOS,46.2,46,2,22,4.24,491.00%,-10.00%,-33.00%,0.24,10580.00%,521.00%,400.00%,50.00%,1.05,-0.1,80.00%,10,0.51,0.503,"$750,000 ",Waivers
scottta01,2023,Tanner Scott*,28,MIA,78,74,0,22,2.54,474.00%,-4.00%,-31.00%,0.36,10250.00%,495.00%,2100.00%,220.00%,1.83,0.7,360.00%,29,0.529,0.513,"$2,825,000 ",Traded
scottta02,2023,Tayler Scott,31,3TM,17.2,18,2,12,6.11,464.00%,-15.00%,-28.00%,0,10260.00%,465.00%,-300.00%,-30.00%,0.85,0,-10.00%,-1,0.484,0.5,,Purchased
seaboco01,2023,Connor Seabold,27,COL,87.1,27,13,76,7.83,469.00%,10.00%,7.00%,0,11730.00%,546.00%,-2300.00%,-210.00%,0.3,0.1,-120.00%,-14,0.421,0.487,"$722,000 ",Traded
searsjp01,2023,JP Sears*,27,OAK,172.1,32,32,90,4.7,481.00%,-49.00%,22.00%,0,9660.00%,533.00%,1000.00%,100.00%,,-0.1,260.00%,29,0.533,0.506,"$720,000 ",Traded
selbyco01,2023,Colin Selby,25,PIT,24,21,5,24,9,486.00%,4.00%,-25.00%,0,10140.00%,463.00%,-1200.00%,-110.00%,1.13,-0.1,-100.00%,-9,0.447,0.493,,Amateur Draft
sengako01,2023,Kodai Senga,30,NYM,166.1,29,29,60,3.25,469.00%,-8.00%,22.00%,0,9590.00%,478.00%,2900.00%,310.00%,,-0.1,450.00%,45,0.607,0.519,"$15,000,000 ",Free Agency
senzaan01,2023,Antonio Senzatela,28,COL,7.2,2,2,4,4.7,467.00%,9.00%,22.00%,0,9600.00%,460.00%,0.00%,0.00%,,0,10.00%,1,0.497,0.5,"$7,250,000 ",Amateur Free Agent
severlu01,2023,Luis Severino,29,NYY,89.1,19,18,73,7.35,481.00%,16.00%,21.00%,0,10180.00%,495.00%,-2500.00%,-230.00%,0.92,-0.1,-150.00%,-15,0.38,0.486,"$15,000,000 ",Amateur Free Agent
sewalpa01,2023,Paul Sewald,33,2TM,60.2,65,0,23,3.41,469.00%,12.00%,-31.00%,0.28,9500.00%,432.00%,600.00%,60.00%,1.69,0,120.00%,12,0.509,0.502,"$4,100,000 ",Traded
shawbr01,2023,Bryan Shaw,35,CHW,45.2,38,0,21,4.14,453.00%,-28.00%,-30.00%,0,10590.00%,477.00%,300.00%,30.00%,1.02,-0.1,60.00%,8,0.507,0.502,,Free Agency
sheehem01,2023,Emmet Sheehan,23,LAD,60.1,13,11,33,4.92,472.00%,39.00%,16.00%,0,10350.00%,465.00%,-200.00%,-20.00%,1.21,-0.1,30.00%,4,0.487,0.499,,Amateur Draft
sherrry01,2023,Ryan Sherriff*,33,BOS,6.2,5,0,2,2.7,513.00%,-12.00%,-34.00%,0,11200.00%,550.00%,200.00%,20.00%,0.79,0,20.00%,3,0.542,0.501,,Free Agency
shortza01,2023,Zack Short,28,DET,6,6,0,4,6,485.00%,23.00%,-32.00%,0,10600.00%,455.00%,-100.00%,-10.00%,0,0,0.00%,0,0.483,0.499,,Traded
shrevch01,2023,Chasen Shreve*,32,2TM,44.2,50,0,25,5.04,486.00%,12.00%,-32.00%,0.25,10340.00%,482.00%,-200.00%,-20.00%,1.02,-0.1,20.00%,3,0.497,0.499,"$1,250,000 ",Free Agency
shustja01,2023,Jared Shuster*,24,ATL,52.2,11,11,34,5.81,469.00%,20.00%,22.00%,0,10050.00%,473.00%,-600.00%,-60.00%,,0,-10.00%,-1,0.446,0.496,,Amateur Draft
silsech01,2023,Chase Silseth,23,LAA,52.1,16,8,26,4.47,489.00%,-8.00%,6.00%,0,10320.00%,520.00%,400.00%,40.00%,0.79,-0.1,80.00%,9,0.523,0.502,,Amateur Draft
simslu01,2023,Lucas Sims,29,CIN,61,67,0,23,3.39,464.00%,-12.00%,-31.00%,0.09,10470.00%,477.00%,900.00%,100.00%,1.79,0.2,180.00%,15,0.514,0.506,"$1,267,500 ",Traded
singebr01,2023,Brady Singer,26,KCR,159.2,29,29,102,5.75,466.00%,-19.00%,21.00%,0,10300.00%,521.00%,-1200.00%,-110.00%,,-0.1,30.00%,6,0.461,0.493,"$2,950,000 ",Amateur Draft
skubata01,2023,Tarik Skubal*,26,DET,80.1,15,15,28,3.14,431.00%,11.00%,20.00%,0,10470.00%,460.00%,1200.00%,130.00%,,0,200.00%,21,0.587,0.508,,Amateur Draft
smallet01,2023,Ethan Small*,26,MIL,4,2,0,5,11.25,447.00%,57.00%,-29.00%,0,9600.00%,346.00%,-300.00%,-30.00%,0.4,0.1,-20.00%,-3,0.35,0.498,,Amateur Draft
smeltde01,2023,Devin Smeltzer*,27,MIA,22.1,9,1,18,7.25,531.00%,-5.00%,-24.00%,0.25,10060.00%,541.00%,-500.00%,-40.00%,0.64,0,-20.00%,-2,0.451,0.497,,Free Agency
smithch12,2023,Chad Smith,28,OAK,13.2,10,0,10,6.59,535.00%,-52.00%,-36.00%,0,9530.00%,525.00%,-200.00%,-20.00%,0.85,0,-10.00%,-1,0.478,0.499,,Traded
smithdr01,2023,Drew Smith,29,NYM,56.1,62,0,31,4.95,474.00%,-8.00%,-31.00%,0.1,9660.00%,445.00%,-300.00%,-30.00%,1.25,-0.2,10.00%,2,0.495,0.498,"$1,300,000 ",Traded
smithwi04,2023,Will Smith*,33,TEX,57.1,60,0,31,4.87,466.00%,23.00%,-31.00%,0.49,10300.00%,475.00%,-100.00%,-10.00%,1.68,-0.2,20.00%,5,0.498,0.499,"$1,500,000 ",Free Agency
smithaj01,2023,AJ Smith-Shawver,20,ATL,25.1,6,5,14,4.97,459.00%,17.00%,17.00%,0,10270.00%,471.00%,-100.00%,-10.00%,0.52,0,20.00%,2,0.488,0.5,,Amateur Draft
smylydr01,2023,Drew Smyly*,34,CHC,142.1,41,23,89,5.63,474.00%,27.00%,14.00%,0.12,10180.00%,482.00%,-1300.00%,-120.00%,1,-0.1,0.00%,1,0.47,0.492,"$8,000,000 ",Free Agency
sneadki01,2023,Kirby Snead*,28,OAK,11.2,15,0,7,5.4,498.00%,-59.00%,-33.00%,0,9260.00%,485.00%,-100.00%,-10.00%,1.5,0,0.00%,0,0.494,0.499,,Traded
snellbl01,2023,Blake Snell*,30,SDP,180,32,32,47,2.35,482.00%,27.00%,22.00%,0,9290.00%,443.00%,4200.00%,460.00%,,-0.1,620.00%,59,0.644,0.528,"$16,600,000 ",Traded
snideco01,2023,Collin Snider,27,KCR,20.1,20,1,12,5.31,462.00%,-21.00%,-31.00%,0,10140.00%,458.00%,-200.00%,-20.00%,0.94,0,0.00%,0,0.49,0.499,,Amateur Draft
solompe01,2023,Peter Solomon,26,ARI,13.1,5,0,18,12.15,467.00%,31.00%,-31.00%,0,10660.00%,432.00%,-1200.00%,-100.00%,0.23,0.3,-50.00%,-10,0.309,0.494,,Waivers
soriage01,2023,George Soriano,24,MIA,52,26,1,26,4.5,484.00%,-4.00%,-29.00%,0,10140.00%,466.00%,100.00%,10.00%,0.65,-0.2,50.00%,6,0.504,0.501,,Free Agency
soriajo02,2023,José Soriano,24,LAA,42,38,0,22,4.71,486.00%,-7.00%,-32.00%,0.27,10330.00%,504.00%,100.00%,10.00%,1.41,-0.1,40.00%,6,0.503,0.501,,Rule 5 returned
sorokmi01,2023,Michael Soroka,25,ATL,32.1,7,6,23,6.4,420.00%,19.00%,15.00%,0,9690.00%,404.00%,-800.00%,-80.00%,0.22,0,-50.00%,-5,0.39,0.495,"$2,800,000 ",Amateur Draft
sotogr01,2023,Gregory Soto*,28,PHI,60.1,69,0,34,5.07,470.00%,-20.00%,-31.00%,0.09,9790.00%,458.00%,-300.00%,-30.00%,1.38,-0.2,0.00%,3,0.495,0.498,"$3,925,000 ",Traded
sousabe01,2023,Bennett Sousa*,28,2TM,9,7,0,4,4,502.00%,25.00%,-33.00%,0,9550.00%,425.00%,0.00%,10.00%,0.18,0,10.00%,1,0.509,0.501,,Waivers
speasal01,2023,Alex Speas,25,TEX,2,3,0,3,13.5,621.00%,12.00%,-41.00%,0,10400.00%,590.00%,-200.00%,-20.00%,2.09,-0.1,-20.00%,-1,0.444,0.499,,Amateur Draft
speiega01,2023,Gabe Speier*,28,SEA,54.2,69,0,24,3.95,477.00%,8.00%,-32.00%,0.2,9500.00%,435.00%,200.00%,20.00%,1.23,-0.1,60.00%,8,0.503,0.501,,Waivers
spierca01,2023,Carson Spiers,25,CIN,13,4,2,12,8.31,474.00%,-19.00%,-2.00%,0,10140.00%,498.00%,-500.00%,-40.00%,0.43,0,-30.00%,-4,0.391,0.497,,Free Agency
sprinje01,2023,Jeffrey Springs*,30,TBR,16,3,3,1,0.56,403.00%,8.00%,18.00%,0,9400.00%,388.00%,600.00%,70.00%,,0,80.00%,7,0.719,0.504,"$4,000,000 ",Traded
stallja01,2023,Jacob Stallings,33,MIA,8,7,0,4,4.5,502.00%,-6.00%,-33.00%,0,10290.00%,489.00%,0.00%,0.00%,0,0,10.00%,1,0.505,0.5,"$3,350,000 ",Traded
stanery01,2023,Ryne Stanek,31,HOU,50.2,55,0,24,4.26,478.00%,15.00%,-32.00%,0.11,9800.00%,433.00%,0.00%,0.00%,0.75,-0.1,40.00%,5,0.5,0.5,"$3,600,000 ",Free Agency
staumjo01,2023,Josh Staumont,29,KCR,20,21,1,12,5.4,467.00%,-15.00%,-31.00%,0,10270.00%,463.00%,-200.00%,-20.00%,0.35,0,0.00%,0,0.491,0.499,"$1,025,000 ",Amateur Draft
steelju01,2023,Justin Steele*,27,CHC,173.1,30,30,71,3.69,473.00%,26.00%,22.00%,0,10160.00%,476.00%,2100.00%,220.00%,,-0.1,370.00%,38,0.575,0.514,"$740,000 ",Amateur Draft
stephtr01,2023,Trevor Stephan,27,CLE,68.2,71,0,35,4.59,469.00%,16.00%,-31.00%,0.41,9700.00%,449.00%,-200.00%,-20.00%,1.65,-0.2,30.00%,6,0.498,0.499,"$1,350,000 ",Rule 5 Draft
stephja01,2023,Jackson Stephens,29,ATL,12,5,0,4,3,480.00%,18.00%,-32.00%,0,9990.00%,430.00%,200.00%,20.00%,0.39,-0.1,20.00%,3,0.536,0.501,"$740,000 ",Free Agency
stephro01,2023,Robert Stephenson,30,2TM,52.1,60,0,20,3.44,468.00%,8.00%,-31.00%,0.32,9790.00%,452.00%,600.00%,60.00%,1.46,0,110.00%,11,0.51,0.503,"$1,750,000 ",Waivers
stewabr01,2023,Brock Stewart,31,MIN,27.2,28,0,2,0.65,450.00%,12.00%,-30.00%,0.2,10260.00%,439.00%,1100.00%,120.00%,1.39,0.2,160.00%,14,0.542,0.507,,Free Agency
stonega01,2023,Gavin Stone,24,LAD,31,8,4,32,9.29,503.00%,55.00%,14.00%,0,9960.00%,460.00%,-1600.00%,-140.00%,0.91,0,-110.00%,-13,0.329,0.492,,Amateur Draft
stoudle01,2023,Levi Stoudt,25,CIN,10.1,4,2,11,9.58,520.00%,-20.00%,5.00%,0,10700.00%,584.00%,-400.00%,-40.00%,0.8,0,-30.00%,-3,0.401,0.498,,Traded
strahma01,2023,Matt Strahm*,31,PHI,87.2,56,10,34,3.49,467.00%,-19.00%,-13.00%,0.26,9760.00%,487.00%,1400.00%,140.00%,1.28,-0.1,220.00%,22,0.525,0.509,"$7,500,000 ",Free Agency
stratch01,2023,Chris Stratton,32,2TM,82.2,64,0,39,4.25,459.00%,8.00%,-30.00%,0,10130.00%,426.00%,0.00%,0.00%,1.11,-0.2,60.00%,8,0.5,0.5,"$2,800,000 ",Traded
strathu01,2023,Hunter Stratton,26,PIT,12,8,0,3,2.25,462.00%,4.00%,-30.00%,0,10230.00%,437.00%,300.00%,30.00%,0.87,-0.1,40.00%,4,0.537,0.502,,Free Agency
stridsp01,2023,Spencer Strider,24,ATL,186.2,32,32,85,4.1,477.00%,13.00%,22.00%,0,9980.00%,485.00%,1600.00%,170.00%,,-0.1,330.00%,34,0.552,0.51,"$1,000,000 ",Amateur Draft
stripro01,2023,Ross Stripling,33,SFG,89,22,11,54,5.46,470.00%,-8.00%,7.00%,0,9780.00%,475.00%,-700.00%,-70.00%,0.63,-0.1,10.00%,2,0.469,0.496,"$10,000,000 ",Free Agency
stromma01,2023,Marcus Stroman,32,CHC,136.2,27,25,68,4.48,469.00%,26.00%,21.00%,0.04,10070.00%,470.00%,400.00%,40.00%,2.18,-0.1,160.00%,17,0.514,0.502,"$25,000,000 ",Free Agency
strzepe01,2023,Peter Strzelecki,28,2TM,37,37,0,18,4.38,461.00%,43.00%,-30.00%,0.15,9720.00%,391.00%,-200.00%,-20.00%,1.24,-0.2,0.00%,2,0.495,0.499,"$726,400 ",Traded
suarean01,2023,Andrew Suárez*,30,STL,27.2,13,0,27,8.78,473.00%,-2.00%,-31.00%,0,9670.00%,429.00%,-1400.00%,-130.00%,0.16,0.5,-60.00%,-11,0.402,0.492,,Free Agency
suarejo01,2023,José Suarez*,25,LAA,33.2,11,7,32,8.55,463.00%,-11.00%,7.00%,0,10200.00%,490.00%,-1400.00%,-130.00%,1.04,0,-100.00%,-10,0.383,0.492,"$750,000 ",Amateur Free Agent
suarera01,2023,Ranger Suárez*,27,PHI,125,22,22,59,4.25,474.00%,-22.00%,22.00%,0,9840.00%,510.00%,1200.00%,130.00%,,-0.1,240.00%,24,0.557,0.508,"$2,950,000 ",Amateur Free Agent
suarero01,2023,Robert Suarez,32,SDP,27.2,26,0,13,4.23,467.00%,32.00%,-31.00%,0,9330.00%,377.00%,-100.00%,-10.00%,1.52,-0.1,0.00%,1,0.495,0.499,"$10,000,000 ",Free Agency
suerowa01,2023,Wander Suero,31,LAD,8,5,0,7,7.88,468.00%,39.00%,-31.00%,0,9480.00%,377.00%,-400.00%,-30.00%,0.27,0.1,-20.00%,-3,0.431,0.498,,Free Agency
sulseco01,2023,Cole Sulser,33,ARI,5.1,4,0,4,6.75,527.00%,25.00%,-35.00%,0,9490.00%,444.00%,-100.00%,-10.00%,0.54,0,-10.00%,-1,0.467,0.499,"$825,000 ",Waivers
suterbr01,2023,Brent Suter*,33,COL,69.1,57,2,36,4.67,476.00%,9.00%,-31.00%,0.08,11320.00%,503.00%,300.00%,30.00%,1.17,-0.2,80.00%,10,0.505,0.502,"$3,000,000 ",Waivers
swanser01,2023,Erik Swanson,29,TOR,66.2,69,0,22,2.97,481.00%,48.00%,-32.00%,0.08,9920.00%,406.00%,700.00%,70.00%,1.48,0,140.00%,14,0.511,0.505,"$1,250,000 ",Traded
sweetde01,2023,Devin Sweet,26,2TM,8.2,7,0,10,10.38,518.00%,-40.00%,-34.00%,0,9270.00%,486.00%,-500.00%,-50.00%,0.4,0.1,-30.00%,-4,0.426,0.498,,Waivers
syndeno01,2023,Noah Syndergaard,30,2TM,88.2,18,18,65,6.6,476.00%,40.00%,22.00%,0,9810.00%,450.00%,-2100.00%,-190.00%,,-0.1,-110.00%,-12,0.394,0.493,"$13,000,000 ",Traded
taillja01,2023,Jameson Taillon,31,CHC,154.1,30,29,96,5.6,468.00%,27.00%,20.00%,0,10280.00%,475.00%,-1400.00%,-140.00%,0.76,-0.1,0.00%,1,0.454,0.491,"$14,000,000 ",Free Agency
tapiado01,2023,Domingo Tapia,31,SDP,17.2,15,0,8,4.08,490.00%,33.00%,-32.00%,0.32,9220.00%,421.00%,0.00%,0.00%,0.69,-0.1,20.00%,2,0.502,0.5,"$735,000 ",Free Agency
tarnofr01,2023,Freddy Tarnok,24,OAK,14.2,5,1,8,4.91,517.00%,-46.00%,-8.00%,0,9200.00%,510.00%,0.00%,0.00%,0.92,0,10.00%,2,0.503,0.5,,Traded
taylojo02,2023,Josh Taylor*,30,KCR,17.2,17,1,17,8.66,480.00%,-16.00%,-32.00%,0,10200.00%,473.00%,-800.00%,-80.00%,0.65,0.1,-50.00%,-6,0.454,0.495,"$1,025,000 ",Traded
teherju01,2023,Julio Teherán,32,MIL,71.2,14,11,36,4.52,478.00%,47.00%,16.00%,0,9770.00%,436.00%,-100.00%,-10.00%,0.53,-0.1,50.00%,6,0.492,0.499,"$1,500,000 ",Free Agency
tellero01,2023,Rowdy Tellez*,28,MIL,1,1,0,0,0,415.00%,43.00%,-27.00%,0,10400.00%,358.00%,0.00%,0.00%,0,0,0.00%,0,0.541,0.5,"$4,950,000 ",Traded
teperry01,2023,Ryan Tepera,35,2TM,10.2,12,0,11,9.28,473.00%,-9.00%,-31.00%,0,10290.00%,464.00%,-600.00%,-50.00%,1.76,-0.2,-70.00%,-4,0.454,0.498,"$7,000,000 ",Free Agency
thenju01,2023,Juan Then,23,SEA,11,9,0,6,4.91,463.00%,12.00%,-31.00%,0,9400.00%,395.00%,-100.00%,-10.00%,0.39,0,0.00%,0,0.485,0.499,,Free Agency
thielca01,2023,Caleb Thielbar*,36,MIN,30.2,36,0,12,3.52,474.00%,15.00%,-32.00%,0.37,10190.00%,473.00%,400.00%,40.00%,1.52,0,70.00%,7,0.511,0.502,"$2,400,000 ",Free Agency
thomala02,2023,Lane Thomas,27,WSN,1,1,0,3,27,451.00%,-29.00%,-30.00%,0,9600.00%,432.00%,-300.00%,-20.00%,0,0.1,-10.00%,-2,0.296,0.499,"$2,200,000 ",Traded
thompke02,2023,Keegan Thompson,28,CHC,28.2,19,0,15,4.71,476.00%,25.00%,-31.00%,0.2,10290.00%,453.00%,-100.00%,-10.00%,1.05,-0.1,10.00%,2,0.497,0.5,"$740,000 ",Amateur Draft
thompma02,2023,Mason Thompson,25,WSN,54,51,0,35,5.83,486.00%,-19.00%,-32.00%,0,9870.00%,467.00%,-700.00%,-70.00%,1.18,-0.2,-40.00%,-2,0.487,0.496,"$724,400 ",Traded
thompry02,2023,Ryan Thompson,31,2TM,30.2,31,0,14,4.11,446.00%,18.00%,-30.00%,0.18,9800.00%,408.00%,0.00%,0.00%,1.3,-0.1,20.00%,3,0.5,0.499,"$1,000,000 ",Free Agency
thompza02,2023,Zack Thompson*,25,STL,66.1,25,9,35,4.75,467.00%,-2.00%,8.00%,0,10000.00%,476.00%,0.00%,0.00%,1.12,-0.1,60.00%,7,0.501,0.5,"$725,000 ",Amateur Draft
thorntr01,2023,Trent Thornton,29,2TM,31.1,27,1,12,3.45,477.00%,18.00%,-32.00%,0.36,9330.00%,430.00%,300.00%,30.00%,0.89,-0.1,50.00%,6,0.51,0.501,"$1,000,000 ",Traded
tonkimi01,2023,Michael Tonkin,33,ATL,80,45,0,41,4.61,467.00%,17.00%,-31.00%,0.14,10120.00%,438.00%,-200.00%,-20.00%,0.97,-0.2,40.00%,6,0.496,0.499,"$750,000 ",Free Agency
topaju01,2023,Justin Topa,32,SEA,69,75,0,26,3.39,474.00%,9.00%,-32.00%,0.65,9430.00%,469.00%,900.00%,90.00%,1.42,0,170.00%,17,0.513,0.506,,Traded
toussto01,2023,Touki Toussaint,27,2TM,87,20,16,48,4.97,470.00%,-25.00%,17.00%,0,10520.00%,538.00%,300.00%,30.00%,0.54,-0.1,110.00%,12,0.515,0.502,,Waivers
trejoal01,2023,Alan Trejo,27,COL,2,2,0,3,13.5,509.00%,14.00%,-34.00%,0,11680.00%,539.00%,-200.00%,-20.00%,0,0.1,-10.00%,-2,0.416,0.499,"$722,000 ",Amateur Draft
turnbsp01,2023,Spencer Turnbull,30,DET,31,7,7,26,7.55,471.00%,16.00%,22.00%,0,10080.00%,480.00%,-1000.00%,-90.00%,,0,-60.00%,-6,0.372,0.494,"$2,150,000 ",Amateur Draft
ucetaed01,2023,Edwin Uceta,25,NYM,3,1,0,0,0,443.00%,-5.00%,-29.00%,0,9200.00%,386.00%,100.00%,10.00%,0.09,-0.1,10.00%,2,0.642,0.501,,Waivers
uelmeer01,2023,Erich Uelmen,27,PHI,1,1,0,4,36,500.00%,-37.00%,-33.00%,0,9600.00%,483.00%,-300.00%,-30.00%,0.49,0.1,-20.00%,-3,0.242,0.498,,Purchased
underdu01,2023,Duane Underwood Jr.,28,PIT,24.1,20,0,14,5.18,481.00%,5.00%,-32.00%,0,10190.00%,453.00%,-200.00%,-20.00%,0.92,-0.1,0.00%,1,0.492,0.499,"$1,025,000 ",Traded
urenajo01,2023,José Ureña,31,2TM,44.2,10,10,37,7.46,478.00%,-13.00%,22.00%,0,11000.00%,564.00%,-900.00%,-80.00%,,0,-40.00%,-5,0.423,0.498,"$3,000,000 ",Free Agency
uriasju01,2023,Julio Urías*,26,LAD,117.1,21,21,61,4.68,468.00%,42.00%,22.00%,0,9800.00%,438.00%,-400.00%,-40.00%,,-0.1,70.00%,8,0.483,0.498,"$14,250,000 ",Amateur Free Agent
uribeab01,2023,Abner Uribe,23,MIL,30.2,32,0,8,2.35,473.00%,33.00%,-31.00%,0.37,9830.00%,438.00%,700.00%,70.00%,1.16,0,100.00%,10,0.522,0.504,,Free Agency
urquijo01,2023,José Urquidy,28,HOU,63,16,10,37,5.29,468.00%,18.00%,8.00%,0,9820.00%,449.00%,-600.00%,-60.00%,0.5,0,-10.00%,0,0.461,0.496,"$3,025,000 ",Amateur Free Agent
valdefr01,2023,Framber Valdez*,29,HOU,198,31,31,86,3.91,461.00%,15.00%,21.00%,0,9850.00%,460.00%,1300.00%,130.00%,,-0.1,310.00%,34,0.544,0.508,"$6,800,000 ",Amateur Free Agent
vallich01,2023,Chris Vallimont,26,BAL,0.2,1,0,0,0,410.00%,7.00%,-27.00%,0,10200.00%,385.00%,0.00%,0.00%,0,0,0.00%,0,0.529,0.5,,Waivers
vargaca01,2023,Carlos Vargas,23,ARI,4.2,5,0,3,5.79,532.00%,18.00%,-35.00%,0,9800.00%,470.00%,-100.00%,-10.00%,0.07,0,0.00%,0,0.489,0.5,,Traded
vargail01,2023,Ildemaro Vargas,31,WSN,2,2,0,1,4.5,529.00%,-23.00%,-35.00%,0,9600.00%,497.00%,0.00%,0.00%,0,0,0.00%,0,0.506,0.5,"$975,000 ",Free Agency
varlagu01,2023,Gus Varland,26,2TM,20.1,16,0,18,7.97,475.00%,49.00%,-31.00%,0.28,9870.00%,417.00%,-900.00%,-80.00%,0.47,0.2,-40.00%,-7,0.451,0.498,,Rule 5 returned
varlalo01,2023,Louie Varland,25,MIN,68,17,10,35,4.63,465.00%,17.00%,12.00%,0,10030.00%,461.00%,-100.00%,-10.00%,1.12,-0.1,50.00%,6,0.494,0.499,,Amateur Draft
vasquan02,2023,Andrew Vasquez*,29,2TM,48.1,42,0,21,3.91,470.00%,-15.00%,-31.00%,0.35,9920.00%,484.00%,500.00%,50.00%,0.57,-0.3,70.00%,10,0.513,0.504,"$723,500 ",Waivers
vasqura02,2023,Randy Vásquez,24,NYY,37.2,11,5,12,2.87,471.00%,14.00%,0.00%,0,10320.00%,472.00%,700.00%,80.00%,0.58,-0.1,100.00%,11,0.571,0.505,,Free Agency
velasvi01,2023,Vince Velasquez,31,PIT,37.1,8,8,16,3.86,457.00%,4.00%,21.00%,0,10420.00%,493.00%,500.00%,50.00%,,0,80.00%,8,0.559,0.503,"$3,150,000 ",Free Agency
venezan01,2023,Anthony Veneziano*,25,KCR,2.1,2,0,2,7.71,400.00%,-23.00%,-27.00%,0,10600.00%,420.00%,-100.00%,-10.00%,0.72,0,-10.00%,-1,0.454,0.499,,Amateur Draft
verhadr01,2023,Drew VerHagen,32,STL,61,60,0,30,4.43,477.00%,-2.00%,-31.00%,0.09,9920.00%,453.00%,100.00%,10.00%,1.01,-0.2,50.00%,7,0.501,0.501,"$3,000,000 ",Free Agency
verlaju01,2023,Justin Verlander,40,2TM,162.1,27,27,63,3.49,453.00%,2.00%,21.00%,0,9780.00%,462.00%,2000.00%,210.00%,,-0.1,350.00%,36,0.578,0.507,"$43,333,333 ",Traded
vesiaal01,2023,Alex Vesia*,27,LAD,49.2,56,1,27,4.89,467.00%,40.00%,-31.00%,0.23,9880.00%,414.00%,-400.00%,-40.00%,1,-0.1,-10.00%,1,0.493,0.498,"$750,000 ",Traded
vespini01,2023,Nick Vespi*,27,BAL,14.2,9,0,7,4.3,477.00%,17.00%,-32.00%,0,9260.00%,396.00%,-100.00%,-10.00%,0.36,0,10.00%,1,0.492,0.5,,Amateur Draft
vestwi01,2023,Will Vest,28,DET,48.1,48,4,18,3.35,472.00%,13.00%,-29.00%,0.12,10300.00%,456.00%,600.00%,60.00%,1.15,-0.1,100.00%,11,0.513,0.504,,Rule 5 returned
vieirth01,2023,Thyago Vieira,30,MIL,3,2,0,1,3,452.00%,35.00%,-30.00%,3.76,9780.00%,746.00%,100.00%,20.00%,2.02,0.1,30.00%,2,0.579,0.501,,Free Agency
villada01,2023,David Villar,26,SFG,1,1,0,0,0,503.00%,-5.00%,-33.00%,0,9200.00%,437.00%,0.00%,10.00%,0,0,0.00%,1,0.551,0.5,"$723,750 ",Amateur Draft
vinesda01,2023,Darius Vines,25,ATL,20.1,5,2,10,4.43,458.00%,19.00%,0.00%,0,10920.00%,481.00%,100.00%,10.00%,0.59,0,30.00%,3,0.518,0.501,,Amateur Draft
vodnivi01,2023,Victor Vodnik,23,COL,8.2,6,0,9,9.35,487.00%,10.00%,-32.00%,0,11400.00%,508.00%,-400.00%,-40.00%,0.26,0.1,-20.00%,-3,0.435,0.498,,Traded
vosleja01,2023,Jason Vosler,29,CIN,2,2,0,1,4.5,535.00%,-31.00%,-35.00%,0,10800.00%,573.00%,0.00%,0.00%,0,0,0.00%,0,0.514,0.5,"$1,000,000 ",Free Agency
vothau01,2023,Austin Voth,31,BAL,34.2,25,0,22,5.71,466.00%,17.00%,-31.00%,0.32,9540.00%,430.00%,-600.00%,-60.00%,1.24,-0.2,-40.00%,-2,0.476,0.496,"$1,850,000 ",Waivers
wachami01,2023,Michael Wacha,31,SDP,134.1,24,24,49,3.28,458.00%,35.00%,21.00%,0,9210.00%,409.00%,1200.00%,130.00%,,-0.1,250.00%,25,0.554,0.508,"$7,500,000 ",Free Agency
wainwad01,2023,Adam Wainwright,41,STL,101,21,21,89,7.93,483.00%,-2.00%,22.00%,0,9990.00%,506.00%,-3200.00%,-280.00%,,-0.1,-200.00%,-22,0.365,0.483,"$17,500,000 ",Free Agency
waiteco01,2023,Cole Waites,25,SFG,2.1,3,0,5,19.29,467.00%,-12.00%,-31.00%,0,9360.00%,420.00%,-400.00%,-40.00%,0.08,0.2,-20.00%,-4,0.382,0.498,,Free Agency
